provider_id,website,location_name,phone,email,address_1,address_2,city,state,zip
1,https://www.bridgecareaba.com/locations/utah,https://www.bridgecareaba.com/locations/aba-therapy-in-utah,801-435-8088,info@bridgecareaba.com,,,,,
2,https://www.abtaba.com/,https://www.abtaba.com/locations/aba-therapy-in-utah,(801) 630-2040,info@abtaba.com,,,,,
3,www.abapediatricautismservices.com,https://www.abapediatricautismservices.com/locations,(801) 762-8342,info@abapediatricautismservices.com,,,,,
4,www.abawithiris.com,https://www.abawithiris.com/,(801) 979-1326,abawithiris@gmail.com,,,,,
5,www.affinityautism.com,,(801) 506-6695,Affinity@affinitytreatment.com,1970 W 7800 S,,West Jordan,UT,84088
6,www.abilearningcenter.com,,(801) 998-8428,Office@abilearningcenter.com,12637 S 265 W,Suite 300,Draper,UT,84020
7,www.achievingabilities.com,,(801) 935-5796,info@achievingabilities.com,1392 West Turf Farm Way,Suite 1-153,Payson,UT,84651
8,www.abskids.com,Salt Lake County,(801) 935-4171,info@alternativebehaviorstrategies.com,515 S 700 E,#2A,Salt Lake City,UT,84102
8,www.abskids.com,Utah County Office,(800) 434-8923,,1140 W 1130 S,Building B,Orem,UT,84058
8,www.abskids.com,Davis County Office,(800) 434-8923,,2940 Church St,Suite #303,Layton,UT,84040
9,www.acesaba.com/location-salt-lake-city/,,1-855-223-7123,verifications@acesaba.com,222 Main St,Suite 500,Salt Lake City,UT,84101
10,www.ageslearningsolutions.com,,1-866-375-2437,emmylou@ageslearningsolutions.com,7103 S Redwood Road,Suite 235,West Jordan,UT,84084
11,https://anybehavior.com/,,(385) 695-2203,,1441 E Fort Union Blvd,,Cottonwood Heights,UT,84121
12,http://www.advancedbehaviorchange.com/,,(801) 251-6219,onlydiane@advancedbehaviorchange.com,352 South Denver St.,Suite 202,Salt Lake City,UT,84111
13,http://www.apexbehavior.com,Salt Lake,(801) 674-5352,clientservices@apexbehavior.com,3006 South Highland Dr.,#210,Salt Lake City,UT,84106
13,http://www.apexbehavior.com,Ogden ,(801) 674-5352,,3670 Quincy Ave,#210,Ogden,UT,84403
14,http://aim-autisminmotion.com/,,801-452-1940,gennie.tucker@aim-autisminmotion.com,2811 N 2350 W,Farr West,,UT,84404
15,http://autismsolutionsutah.com,Layton,(801) 735-3252,info@autismsolutionsutah.com,1848 N Hill Field Rd,#101 A,Layton,UT,84041
15,http://autismsolutionsutah.com,Draper,,,12222 S. 1000 E.,Suite 4,Draper,UT,84020
16,http://www.autismtherapyservices.com/,,(435) 313-4571,info@autismtherapyservices.com,230 N 1680 E,Building U,St. George,UT,84790
17,balancefamilysolutions.org,,(801) 477-5177,info@balancefamilysolutions.org,744 E 400 S,Suite B,Salt Lake City,UT,84102
18,https://www.beekidsutah.com/,,(435) 233-6030,admin@beekidsutah.com,88 East 1000 North,Suite 200,Tooele,UT,84074
19,www.beehivebehaviorservices.com,www.beehivebehaviorservices.com,(435) 213-5383,admin@buzzaba.com,,,,,
