id,name,logo,website,email,cost,min_age,max_age,waitlist,in_clinic_services,in_home_services,telehealth_services,spanish_speakers
1,A BridgeCare ABA,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691616/bridgecare-aba_ldxeau.jpg?_s=public-apps,https://www.bridgecareaba.com/locations/utah,info@bridgecareaba.com,N/A,2,16,No,,,Yes,Yes
2,Above & Beyond Therapy,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691614/above-and-beyond-therapy_rt8yfl.jpg?_s=public-apps,https://www.abtaba.com/,info@abtaba.com,Out-of-Network and single-case agreements.,2,21,No,,,Yes,
3,ABA Pediatric Autism Services,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691620/pediatric-autism-services_tr0wtf.jpg?_s=public-apps,http://www.abapediatricautismservices.com,info@abapediatricautismservices.com,Private pay rates available upon request,1.5,6,No,,,limited,
4,ABA with Iris,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691615/aba-with-iris_ooptno.jpg?_s=public-apps,http://www.abawithiris.com,abawithiris@gmail.com,Private pay available,5,45,No,,,Yes,No
5,Affinity Autism Services,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691615/Affinity-autism-logo_dhzbv0.jpg?_s=public-apps,http://www.affinityautism.com,Affinity@affinitytreatment.com,Private pay rates available upon request,1.5,21,12 months,,,limited,limited
6,A.B.I. Learning Center,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691614/abi-autism-logo_nnr238.jpg?_s=public-apps,http://www.abilearningcenter.com,Office@abilearningcenter.com,"Bill insurance or private pay is $50 an hour for RBT, BCaBA, and BCBA",1.5,18,24 months,,,limited,Yes
7,Achieving Abilities LLC,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691615/achieving-autism-logo_c05oin.jpg?_s=public-apps,http://www.achievingabilities.com,info@achievingabilities.com,,1.5,18,Contact provider,,,,
8,ABS Kids,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691614/ABS-Kids-logo_ofsmkq.jpg?_s=public-apps,http://www.abskids.com,info@alternativebehaviorstrategies.com,"Intake and assessment $480 (6hrs. $80hr.)
 RBT $380 weekly (1hr supervised
 $80 + 30 hrs. at
 $30hr direct care)",1.5,,8 months,,Yes,Yes,Yes
9,ACES ABA,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691615/aces-autism-logo_ejtzjx.jpg?_s=public-apps,http://www.acesaba.com/location-salt-lake-city/,verifications@acesaba.com,Varies based on child needs and location.,0,21,No,,,Yes,Yes
10,A.G.E.S. Learning Solutions,https://res.cloudinary.com/don662dbn/image/upload/fl_preserve_transparency/v1724691615/ages-autism-logo_w7ohnd.jpg?_s=public-apps,http://www.ageslearningsolutions.com,emmylou@ageslearningsolutions.com,,1.5,21,"In-clinic no waitlist for daytime (9AM-3PM);
 60+ days for after school (3PM - 6PM);
 In-home 60+ days (SLC
 County",,,Yes,
