Official Name State,State Abbreviation,Official Name County,Type,Name with legal/statistical area description
Alabama,AL,Autauga,county,Autauga County
Alabama,AL,Baldwin,county,Baldwin County
Alabama,AL,Barbour,county,Barbour County
Alabama,AL,Bibb,county,Bibb County
Alabama,AL,Blount,county,Blount County
Alabama,AL,Bullock,county,Bullock County
Alabama,AL,Butler,county,Butler County
Alabama,AL,Calhoun,county,Calhoun County
Alabama,AL,Chambers,county,Chambers County
Alabama,AL,Cherokee,county,Cherokee County
Alabama,AL,Chilton,county,Chilton County
Alabama,AL,Choctaw,county,Choctaw County
Alabama,AL,Clarke,county,Clarke County
Alabama,AL,Clay,county,Clay County
Alabama,AL,Cleburne,county,Cleburne County
Alabama,AL,Coffee,county,Coffee County
Alabama,AL,Colbert,county,Colbert County
Alabama,AL,Conecuh,county,Conecuh County
Alabama,AL,Coosa,county,Coosa County
Alabama,AL,Covington,county,Covington County
Alabama,AL,Crenshaw,county,Crenshaw County
Alabama,AL,Cullman,county,Cullman County
Alabama,AL,Dale,county,Dale County
Alabama,AL,Dallas,county,Dallas County
Alabama,AL,DeKalb,county,DeKalb County
Alabama,AL,Elmore,county,Elmore County
Alabama,AL,Escambia,county,Escambia County
Alabama,AL,Etowah,county,Etowah County
Alabama,AL,Fayette,county,Fayette County
Alabama,AL,Franklin,county,Franklin County
Alabama,AL,Geneva,county,Geneva County
Alabama,AL,Greene,county,Greene County
Alabama,AL,Hale,county,Hale County
Alabama,AL,Henry,county,Henry County
Alabama,AL,Houston,county,Houston County
Alabama,AL,Jackson,county,Jackson County
Alabama,AL,Jefferson,county,Jefferson County
Alabama,AL,Lamar,county,Lamar County
Alabama,AL,Lauderdale,county,Lauderdale County
Alabama,AL,Lawrence,county,Lawrence County
Alabama,AL,Lee,county,Lee County
Alabama,AL,Limestone,county,Limestone County
Alabama,AL,Lowndes,county,Lowndes County
Alabama,AL,Macon,county,Macon County
Alabama,AL,Madison,county,Madison County
Alabama,AL,Marengo,county,Marengo County
Alabama,AL,Marion,county,Marion County
Alabama,AL,Marshall,county,Marshall County
Alabama,AL,Mobile,county,Mobile County
Alabama,AL,Monroe,county,Monroe County
Alabama,AL,Montgomery,county,Montgomery County
Alabama,AL,Morgan,county,Morgan County
Alabama,AL,Perry,county,Perry County
Alabama,AL,Pickens,county,Pickens County
Alabama,AL,Pike,county,Pike County
Alabama,AL,Randolph,county,Randolph County
Alabama,AL,Russell,county,Russell County
Alabama,AL,Shelby,county,Shelby County
Alabama,AL,St. Clair,county,St. Clair County
Alabama,AL,Sumter,county,Sumter County
Alabama,AL,Talladega,county,Talladega County
Alabama,AL,Tallapoosa,county,Tallapoosa County
Alabama,AL,Tuscaloosa,county,Tuscaloosa County
Alabama,AL,Walker,county,Walker County
Alabama,AL,Washington,county,Washington County
Alabama,AL,Wilcox,county,Wilcox County
Alabama,AL,Winston,county,Winston County
Alaska,AK,Aleutians East,borough,Aleutians East Borough
Alaska,AK,Aleutians West,census area,Aleutians West Census Area
Alaska,AK,Anchorage,municipality,Anchorage Municipality
Alaska,AK,Bethel,census area,Bethel Census Area
Alaska,AK,Bristol Bay,borough,Bristol Bay Borough
Alaska,AK,Chugach,census area,Chugach Census Area
Alaska,AK,Copper River,census area,Copper River Census Area
Alaska,AK,Denali,borough,Denali Borough
Alaska,AK,Dillingham,census area,Dillingham Census Area
Alaska,AK,Fairbanks North Star,borough,Fairbanks North Star Borough
Alaska,AK,Haines,borough,Haines Borough
Alaska,AK,Hoonah-Angoon,census area,Hoonah-Angoon Census Area
Alaska,AK,Juneau,city and borough,Juneau City and Borough
Alaska,AK,Kenai Peninsula,borough,Kenai Peninsula Borough
Alaska,AK,Ketchikan Gateway,borough,Ketchikan Gateway Borough
Alaska,AK,Kodiak Island,borough,Kodiak Island Borough
Alaska,AK,Kusilvak,census area,Kusilvak Census Area
Alaska,AK,Lake and Peninsula,borough,Lake and Peninsula Borough
Alaska,AK,Matanuska-Susitna,borough,Matanuska-Susitna Borough
Alaska,AK,Nome,census area,Nome Census Area
Alaska,AK,North Slope,borough,North Slope Borough
Alaska,AK,Northwest Arctic,borough,Northwest Arctic Borough
Alaska,AK,Petersburg,borough,Petersburg Borough
Alaska,AK,Prince of Wales-Hyder,census area,Prince of Wales-Hyder Census Area
Alaska,AK,Sitka,city and borough,Sitka City and Borough
Alaska,AK,Skagway,municipality,Skagway Municipality
Alaska,AK,Southeast Fairbanks,census area,Southeast Fairbanks Census Area
Alaska,AK,Wrangell,city and borough,Wrangell City and Borough
Alaska,AK,Yakutat,city and borough,Yakutat City and Borough
Alaska,AK,Yukon-Koyukuk,census area,Yukon-Koyukuk Census Area
Arizona,AZ,Apache,county,Apache County
Arizona,AZ,Cochise,county,Cochise County
Arizona,AZ,Coconino,county,Coconino County
Arizona,AZ,Gila,county,Gila County
Arizona,AZ,Graham,county,Graham County
Arizona,AZ,Greenlee,county,Greenlee County
Arizona,AZ,La Paz,county,La Paz County
Arizona,AZ,Maricopa,county,Maricopa County
Arizona,AZ,Mohave,county,Mohave County
Arizona,AZ,Navajo,county,Navajo County
Arizona,AZ,Pima,county,Pima County
Arizona,AZ,Pinal,county,Pinal County
Arizona,AZ,Santa Cruz,county,Santa Cruz County
Arizona,AZ,Yavapai,county,Yavapai County
Arizona,AZ,Yuma,county,Yuma County
Arkansas,AR,Arkansas,county,Arkansas County
Arkansas,AR,Ashley,county,Ashley County
Arkansas,AR,Baxter,county,Baxter County
Arkansas,AR,Benton,county,Benton County
Arkansas,AR,Boone,county,Boone County
Arkansas,AR,Bradley,county,Bradley County
Arkansas,AR,Calhoun,county,Calhoun County
Arkansas,AR,Carroll,county,Carroll County
Arkansas,AR,Chicot,county,Chicot County
Arkansas,AR,Clark,county,Clark County
Arkansas,AR,Clay,county,Clay County
Arkansas,AR,Cleburne,county,Cleburne County
Arkansas,AR,Cleveland,county,Cleveland County
Arkansas,AR,Columbia,county,Columbia County
Arkansas,AR,Conway,county,Conway County
Arkansas,AR,Craighead,county,Craighead County
Arkansas,AR,Crawford,county,Crawford County
Arkansas,AR,Crittenden,county,Crittenden County
Arkansas,AR,Cross,county,Cross County
Arkansas,AR,Dallas,county,Dallas County
Arkansas,AR,Desha,county,Desha County
Arkansas,AR,Drew,county,Drew County
Arkansas,AR,Faulkner,county,Faulkner County
Arkansas,AR,Franklin,county,Franklin County
Arkansas,AR,Fulton,county,Fulton County
Arkansas,AR,Garland,county,Garland County
Arkansas,AR,Grant,county,Grant County
Arkansas,AR,Greene,county,Greene County
Arkansas,AR,Hempstead,county,Hempstead County
Arkansas,AR,Hot Spring,county,Hot Spring County
Arkansas,AR,Howard,county,Howard County
Arkansas,AR,Independence,county,Independence County
Arkansas,AR,Izard,county,Izard County
Arkansas,AR,Jackson,county,Jackson County
Arkansas,AR,Jefferson,county,Jefferson County
Arkansas,AR,Johnson,county,Johnson County
Arkansas,AR,Lafayette,county,Lafayette County
Arkansas,AR,Lawrence,county,Lawrence County
Arkansas,AR,Lee,county,Lee County
Arkansas,AR,Lincoln,county,Lincoln County
Arkansas,AR,Little River,county,Little River County
Arkansas,AR,Logan,county,Logan County
Arkansas,AR,Lonoke,county,Lonoke County
Arkansas,AR,Madison,county,Madison County
Arkansas,AR,Marion,county,Marion County
Arkansas,AR,Miller,county,Miller County
Arkansas,AR,Mississippi,county,Mississippi County
Arkansas,AR,Monroe,county,Monroe County
Arkansas,AR,Montgomery,county,Montgomery County
Arkansas,AR,Nevada,county,Nevada County
Arkansas,AR,Newton,county,Newton County
Arkansas,AR,Ouachita,county,Ouachita County
Arkansas,AR,Perry,county,Perry County
Arkansas,AR,Phillips,county,Phillips County
Arkansas,AR,Pike,county,Pike County
Arkansas,AR,Poinsett,county,Poinsett County
Arkansas,AR,Polk,county,Polk County
Arkansas,AR,Pope,county,Pope County
Arkansas,AR,Prairie,county,Prairie County
Arkansas,AR,Pulaski,county,Pulaski County
Arkansas,AR,Randolph,county,Randolph County
Arkansas,AR,Saline,county,Saline County
Arkansas,AR,Scott,county,Scott County
Arkansas,AR,Searcy,county,Searcy County
Arkansas,AR,Sebastian,county,Sebastian County
Arkansas,AR,Sevier,county,Sevier County
